,longitude,latitude,total_rooms,total_bedrooms,population,households,median_income,median_house_value,housing_mdian_age
1645,-122.04,37.33,4011.0,963.0,2206.0,879.0,4.5721,351200.0,22.0
1646,-119.67,36.57,1604.0,292.0,868.0,276.0,2.1908,110000.0,32.0
1647,-119.56,36.71,1609.0,374.0,1173.0,344.0,2.181,59900.0,37.0
1648,-122.35,37.96,2191.0,531.0,1563.0,524.0,2.5164,114200.0,36.0
1649,-117.08,32.58,1462.0,274.0,1002.0,271.0,3.9698,142700.0,15.0
1650,-118.61,34.2,1673.0,284.0,794.0,270.0,5.5191,245800.0,29.0
1651,-118.24,34.14,2909.0,1021.0,2614.0,935.0,2.1444,229000.0,27.0
1652,-118.4,34.03,1006.0,201.0,520.0,199.0,6.5669,372800.0,43.0
1653,-116.98,33.26,5898.0,1002.0,3129.0,945.0,4.7647,254100.0,12.0
1654,-117.93,33.68,2664.0,432.0,1197.0,429.0,5.069,264200.0,33.0
1655,-122.25,37.47,645.0,124.0,265.0,103.0,5.4688,305000.0,38.0
1656,-118.19,33.84,2731.0,577.0,1396.0,555.0,4.1771,219100.0,44.0
1657,-118.45,34.32,3481.0,641.0,1952.0,682.0,4.26,189400.0,23.0
1658,-122.14,39.97,1079.0,222.0,625.0,197.0,3.1319,62700.0,27.0
1659,-118.3,34.02,2190.0,626.0,1768.0,528.0,1.2446,103800.0,27.0
1660,-117.9,33.73,1171.0,306.0,1690.0,301.0,3.2639,155200.0,31.0
1661,-121.58,39.15,1756.0,396.0,837.0,401.0,1.9122,55500.0,38.0
1662,-121.95,38.35,2084.0,292.0,1099.0,292.0,5.8269,150200.0,16.0
1663,-117.69,34.07,3222.0,559.0,1970.0,550.0,3.7083,131000.0,35.0
1664,-117.08,32.74,1434.0,253.0,753.0,228.0,2.3812,135100.0,35.0
1665,-118.29,34.0,1807.0,493.0,1731.0,471.0,1.2347,111700.0,41.0
1666,-123.8,39.46,1718.0,345.0,698.0,299.0,2.9243,131600.0,35.0
1667,-119.12,35.33,8574.0,1489.0,4250.0,1444.0,5.1036,103400.0,4.0
1668,-121.8,37.34,2686.0,414.0,1507.0,405.0,5.8068,263900.0,20.0
1669,-117.09,32.75,2739.0,707.0,2004.0,622.0,1.6318,117700.0,19.0
1670,-122.13,37.43,3454.0,648.0,1498.0,647.0,5.2114,438400.0,40.0
1671,-117.98,33.76,1880.0,405.0,967.0,418.0,4.4545,192500.0,24.0
1672,-122.33,37.94,1876.0,389.0,807.0,377.0,3.1571,141600.0,43.0
1673,-121.44,38.54,2855.0,574.0,1217.0,562.0,3.2404,93600.0,39.0
1674,-118.02,33.7,5069.0,770.0,2473.0,769.0,6.3047,285700.0,23.0
1675,-117.88,33.84,1499.0,290.0,755.0,277.0,3.5893,238500.0,26.0
1676,-120.46,37.31,2042.0,378.0,953.0,356.0,2.7344,87800.0,35.0
1677,-118.31,33.72,2711.0,508.0,1372.0,459.0,4.1451,326700.0,26.0
1678,-117.82,33.67,2895.0,439.0,1588.0,450.0,6.276,290700.0,17.0
1679,-117.99,33.87,2334.0,537.0,1662.0,535.0,3.0147,217000.0,17.0
1680,-119.8,36.86,6434.0,1201.0,2733.0,1045.0,3.7656,145000.0,7.0
1681,-121.47,38.58,3807.0,952.0,1484.0,850.0,2.3266,137500.0,43.0
1682,-117.6,33.87,7626.0,1570.0,3823.0,1415.0,3.4419,138100.0,15.0
1683,-117.1,32.75,2393.0,726.0,1905.0,711.0,1.3448,91300.0,11.0
1684,-117.88,33.76,1768.0,474.0,1079.0,436.0,1.7823,205300.0,17.0
1685,-118.35,33.99,2741.0,439.0,1115.0,459.0,5.0514,269100.0,48.0
1686,-121.81,37.31,2731.0,578.0,1109.0,551.0,3.1382,139700.0,14.0
1687,-120.43,34.9,2388.0,393.0,1117.0,375.0,4.1058,164000.0,30.0
1688,-118.19,34.05,855.0,199.0,785.0,169.0,2.6964,122200.0,29.0
1689,-117.89,33.91,1264.0,224.0,527.0,227.0,3.7321,216500.0,33.0
1690,-118.27,34.02,1314.0,375.0,1505.0,366.0,2.319,97200.0,21.0
1691,-116.73,34.52,1247.0,315.0,433.0,159.0,1.0568,75000.0,16.0
1692,-121.5,38.52,2008.0,466.0,1261.0,427.0,2.2574,59100.0,37.0
1693,-120.61,35.12,1671.0,354.0,935.0,340.0,2.5792,163800.0,16.0
1694,-120.63,36.98,2380.0,489.0,1581.0,505.0,2.0595,61300.0,20.0
1695,-117.06,32.59,3920.0,775.0,2814.0,760.0,4.0616,148800.0,13.0
1696,-119.02,35.42,1912.0,439.0,1015.0,413.0,1.4598,52600.0,40.0
1697,-118.14,34.03,1447.0,293.0,1042.0,284.0,4.1375,211500.0,38.0
1698,-118.31,33.73,2025.0,361.0,957.0,363.0,4.2059,350000.0,52.0
1699,-121.94,38.37,1156.0,216.0,574.0,227.0,3.2396,143800.0,14.0
1700,-122.51,37.92,2622.0,541.0,1022.0,464.0,3.7647,375000.0,32.0
1701,-119.45,36.16,2119.0,373.0,1268.0,345.0,2.8152,106900.0,27.0
1702,-118.19,33.97,2911.0,972.0,3559.0,945.0,1.9485,146300.0,27.0
1703,-116.71,33.75,10665.0,2161.0,1874.0,852.0,3.0625,150500.0,25.0
1704,-118.28,33.99,1138.0,304.0,1128.0,311.0,1.8818,100000.0,35.0
1705,-118.12,33.85,2584.0,453.0,1333.0,481.0,4.3661,219900.0,37.0
1706,-122.53,37.63,2589.0,658.0,1386.0,608.0,2.9087,228200.0,27.0
1707,-121.06,37.73,2256.0,420.0,1246.0,397.0,4.9236,155900.0,5.0
1708,-120.88,38.45,1374.0,297.0,657.0,288.0,2.5476,97900.0,25.0
1709,-117.11,32.58,1086.0,294.0,870.0,290.0,2.4213,132500.0,12.0
1710,-117.9,33.65,3310.0,598.0,1402.0,563.0,6.632,441100.0,27.0
1711,-121.87,37.66,775.0,134.0,315.0,123.0,5.0677,233300.0,52.0
1712,-121.3,37.96,1354.0,314.0,679.0,311.0,1.7788,97400.0,52.0
1713,-117.8,33.85,4151.0,637.0,1558.0,604.0,5.806,304900.0,16.0
1714,-118.55,34.2,1963.0,420.0,1494.0,415.0,3.5313,211800.0,31.0
1715,-118.44,34.24,1660.0,301.0,1225.0,307.0,4.095,184000.0,36.0
1716,-117.91,33.88,1851.0,291.0,784.0,290.0,5.2336,235600.0,34.0
1717,-118.51,34.23,4580.0,918.0,2252.0,850.0,4.7926,454400.0,27.0
1718,-119.15,34.17,2239.0,537.0,784.0,497.0,1.6038,194300.0,23.0
1719,-122.08,37.9,1075.0,170.0,486.0,173.0,5.0499,306800.0,32.0
1720,-122.41,37.71,5015.0,1240.0,3900.0,1029.0,1.2269,181900.0,28.0
1721,-122.22,37.47,367.0,113.0,398.0,109.0,2.5,166700.0,35.0
1722,-117.87,33.92,4575.0,764.0,2054.0,737.0,6.0571,272400.0,17.0
1723,-122.0,36.97,1029.0,242.0,753.0,249.0,3.1205,240500.0,30.0
1724,-117.07,32.6,1607.0,435.0,983.0,400.0,2.2903,106300.0,13.0
1725,-118.16,34.06,1675.0,274.0,785.0,275.0,5.828,301100.0,27.0
1726,-117.05,33.03,87.0,20.0,32.0,21.0,4.3571,144600.0,16.0
1727,-117.24,33.2,1701.0,404.0,989.0,367.0,2.5119,171700.0,26.0
1728,-119.73,34.45,2261.0,328.0,763.0,294.0,6.7449,415600.0,44.0
1729,-117.32,33.17,2143.0,299.0,828.0,283.0,4.2383,239000.0,18.0
1730,-121.83,37.27,2855.0,380.0,1420.0,383.0,6.6712,311500.0,14.0
1731,-122.32,40.42,3019.0,578.0,1538.0,545.0,2.793,76500.0,17.0
1732,-121.77,36.94,1063.0,341.0,1033.0,313.0,2.0192,171300.0,18.0
1733,-118.27,33.79,1513.0,365.0,1227.0,354.0,3.3929,184600.0,39.0
1734,-117.93,33.83,1561.0,381.0,1104.0,391.0,3.375,201900.0,30.0
1735,-117.11,32.82,1787.0,330.0,1341.0,314.0,2.875,112500.0,17.0
1736,-119.23,35.74,2275.0,659.0,1914.0,614.0,2.033,68400.0,16.0
1737,-122.47,37.71,1961.0,427.0,1211.0,409.0,3.5156,239400.0,42.0
1738,-121.93,36.63,1049.0,198.0,428.0,183.0,4.3571,287500.0,41.0
1739,-117.28,33.02,2736.0,585.0,1251.0,576.0,4.2356,347700.0,21.0
1740,-118.99,35.24,282.0,59.0,213.0,71.0,2.35,91700.0,40.0
1741,-119.14,36.23,2935.0,523.0,1927.0,530.0,2.5875,70400.0,22.0
1742,-122.42,40.59,5045.0,972.0,2220.0,979.0,2.6792,138900.0,24.0
1743,-117.09,32.66,1232.0,330.0,1086.0,330.0,1.6389,114300.0,37.0
1744,-118.14,34.7,1205.0,317.0,678.0,290.0,2.0182,98400.0,36.0
1745,-122.04,36.98,2155.0,355.0,866.0,335.0,5.6188,404700.0,35.0
1746,-117.02,32.8,2692.0,445.0,1129.0,450.0,4.4583,170000.0,31.0
1747,-117.29,34.49,7689.0,1545.0,3804.0,1399.0,3.3871,111800.0,3.0
1748,-122.09,37.21,1969.0,332.0,822.0,324.0,7.8774,394900.0,15.0
1749,-121.01,37.65,1713.0,334.0,570.0,297.0,2.1969,149400.0,47.0
1750,-116.77,33.08,1406.0,260.0,737.0,279.0,5.5842,239100.0,13.0
1751,-121.96,37.34,844.0,153.0,373.0,160.0,5.791,254100.0,36.0
1752,-119.7,34.42,725.0,239.0,582.0,214.0,3.1667,362500.0,41.0
1753,-119.46,35.17,4164.0,812.0,1998.0,773.0,2.8323,50800.0,40.0
1754,-122.01,37.3,4044.0,551.0,1699.0,533.0,8.0837,380600.0,25.0
1755,-118.06,33.83,5290.0,1054.0,2812.0,1021.0,4.53,226400.0,22.0
1756,-118.4,34.19,521.0,126.0,306.0,129.0,4.1125,216700.0,30.0
1757,-119.63,34.44,3188.0,442.0,984.0,376.0,9.4522,500001.0,37.0
1758,-117.89,33.77,2577.0,445.0,1849.0,470.0,4.4732,194800.0,29.0
1759,-119.54,36.52,2703.0,415.0,1106.0,372.0,4.2045,120900.0,16.0
1760,-118.43,34.17,1679.0,404.0,933.0,412.0,2.6979,266000.0,33.0
1761,-117.1,32.58,393.0,76.0,330.0,80.0,4.1029,122700.0,33.0
1762,-122.28,37.79,4145.0,869.0,3668.0,855.0,2.5444,275000.0,30.0
1763,-118.32,34.11,4472.0,1579.0,2796.0,1397.0,2.3974,410700.0,48.0
1764,-118.42,34.02,3167.0,737.0,1248.0,665.0,3.1941,394700.0,28.0
1765,-119.56,36.51,3860.0,809.0,2157.0,770.0,2.5033,70100.0,9.0
1766,-122.42,37.78,4065.0,1645.0,2079.0,1470.0,3.1462,187500.0,19.0
1767,-120.91,37.73,840.0,154.0,429.0,150.0,2.4063,170200.0,31.0
1768,-122.08,37.59,1816.0,365.0,1367.0,355.0,4.235,156300.0,16.0
1769,-121.77,37.31,1649.0,228.0,769.0,230.0,6.6455,302600.0,16.0
1770,-117.05,33.03,5180.0,1051.0,1639.0,991.0,4.5,222200.0,14.0
1771,-121.95,37.26,1482.0,255.0,584.0,246.0,5.5121,264700.0,34.0
1772,-119.03,35.42,1628.0,352.0,754.0,334.0,2.5703,62400.0,45.0
1773,-121.53,38.6,5154.0,1105.0,3196.0,1073.0,2.7566,80200.0,25.0
1774,-118.16,33.96,1635.0,507.0,2480.0,481.0,2.4432,187500.0,24.0
1775,-121.89,36.6,626.0,164.0,337.0,150.0,2.7917,225000.0,40.0
1776,-117.07,33.67,939.0,187.0,557.0,190.0,2.375,145800.0,11.0
1777,-122.39,37.59,4497.0,730.0,1846.0,715.0,6.1323,500001.0,32.0
1778,-118.44,34.05,1880.0,435.0,798.0,417.0,4.7109,500000.0,32.0
1779,-121.35,38.04,4303.0,613.0,2206.0,621.0,5.5842,159100.0,5.0
1780,-122.42,37.76,4407.0,1192.0,2280.0,1076.0,3.3937,270000.0,52.0
1781,-118.02,33.94,2382.0,404.0,1339.0,389.0,5.3016,192200.0,33.0
1782,-121.32,38.03,4045.0,623.0,1862.0,625.0,4.875,143100.0,16.0
1783,-118.38,34.05,702.0,143.0,458.0,187.0,4.8958,333600.0,49.0
1784,-119.29,36.54,2581.0,628.0,2732.0,592.0,1.8429,58300.0,18.0
1785,-117.76,33.54,2250.0,329.0,826.0,323.0,6.9257,466400.0,28.0
1786,-122.29,38.29,3217.0,742.0,1670.0,671.0,2.4398,163100.0,52.0
1787,-117.8,33.81,1206.0,142.0,572.0,149.0,8.847,388700.0,14.0
1788,-121.95,37.35,2382.0,523.0,1096.0,492.0,4.2656,236100.0,52.0
1789,-117.87,33.99,2837.0,515.0,2031.0,555.0,4.9271,209700.0,21.0
1790,-121.46,38.56,907.0,180.0,479.0,177.0,2.2125,104000.0,52.0
1791,-117.99,34.08,2399.0,527.0,2307.0,531.0,3.5625,141000.0,11.0
1792,-121.53,38.5,3087.0,477.0,1365.0,495.0,6.4667,216800.0,17.0
1793,-121.14,37.52,1358.0,231.0,586.0,214.0,3.1645,170800.0,37.0
1794,-118.29,33.89,2810.0,614.0,1578.0,601.0,3.59,200600.0,35.0
1795,-117.1,33.09,12045.0,2162.0,5640.0,1997.0,4.4375,353000.0,5.0
1796,-123.2,39.23,786.0,168.0,494.0,161.0,2.3583,105400.0,26.0
1797,-117.12,32.76,1221.0,331.0,620.0,296.0,2.4821,123600.0,26.0
1798,-120.44,34.96,1685.0,315.0,1290.0,368.0,3.4722,112500.0,30.0
1799,-115.56,32.78,2856.0,555.0,1627.0,522.0,3.2083,76200.0,34.0
1800,-121.47,38.56,2083.0,559.0,874.0,524.0,2.0221,95800.0,51.0
1801,-121.68,37.93,1014.0,225.0,704.0,238.0,1.6554,119400.0,44.0
1802,-118.1,34.14,6262.0,1645.0,3001.0,1505.0,3.6572,213200.0,26.0
1803,-118.43,34.22,1588.0,360.0,1080.0,340.0,3.66,184600.0,34.0
1804,-120.97,37.66,1974.0,393.0,799.0,377.0,3.1286,137500.0,19.0
1805,-119.34,34.39,669.0,131.0,314.0,106.0,2.4659,231300.0,27.0
1806,-118.5,34.2,1617.0,344.0,938.0,305.0,3.915,217700.0,34.0
1807,-120.98,38.67,3432.0,516.0,1286.0,470.0,5.584,186600.0,13.0
1808,-118.35,34.0,3085.0,621.0,1162.0,558.0,3.25,301000.0,28.0
1809,-122.49,38.22,1486.0,290.0,781.0,274.0,3.5647,251800.0,33.0
1810,-118.32,33.97,1504.0,270.0,814.0,306.0,4.3919,157100.0,46.0
1811,-117.13,32.69,1469.0,400.0,1271.0,340.0,1.043,90100.0,36.0
1812,-117.03,33.0,6139.0,793.0,2693.0,770.0,7.7569,387400.0,6.0
1813,-122.26,38.02,3846.0,786.0,2053.0,716.0,5.0473,184800.0,5.0
1814,-117.27,32.85,1373.0,336.0,608.0,268.0,4.425,475000.0,26.0
1815,-117.94,33.86,2824.0,493.0,1394.0,507.0,4.6477,194700.0,36.0
1816,-119.31,34.7,961.0,218.0,479.0,138.0,3.3438,156300.0,19.0
1817,-122.1,37.61,2361.0,458.0,1727.0,467.0,4.5281,173600.0,35.0
1818,-118.0,33.9,1942.0,332.0,1127.0,325.0,4.5144,206300.0,35.0
